,Feature,Value
72,PT_percentage_d3,0.01334621636786458
60,PT% d2,0.012142485698854611
26,PT%,0.008040446390779972
27,PTINR_d0,0.005838435381221418
28,PTs_d0,0.0025077542721004616
48,PT% d1,0.0016840874941305424
53,ALT d1,0.0009038467394093024
32,Tbil_d0,0.0007926557151077266
36,LDH,0.0007460865971934041
35,ALT,0.0007189339712393
34,AST,0.0006381349908495208
33,Dbil_d0,0.000577936200510956
4,Fib,0.0005633658548702493
12,IgG,0.00047827870917438654
49,Alb d1,0.0004273671124884508
52,AST d1,0.00042590106685203195
9,Che,0.0004210156622945697
29,Alb,0.0004099597485858698
23,No LA,0.00040590173319118573
65,ALT d2,0.0003629036452024808
5,ATIII,0.00035860614100376544
10,CRP,0.0003383713485347147
47,Plt d1,0.00033574987257718877
0,Age,0.0003242353501709602
11,Ferritin,0.0003182715050591834
3,WBC,0.00029708644974432187
25,Plt,0.0002926902254548582
15,AFP,0.0002905472168536776
2,MELD,0.0002880402029663544
6,APTT,0.0002860173630864964
61,Alb d2,0.0002716159007505574
55,NH3 d1,0.00027094657392730465
16,PIVKA,0.0002603438988159346
54,LDH d1,0.0002544940767699622
77,ALT_d3,0.0002496658819256524
71,Plt_d3,0.0002458016112397475
13,IgA,0.00023715578268062231
7,ALP,0.0002357144798042947
78,LDH_d3,0.0002330447631791296
59,Plt d2,0.00022798180810081368
14,IgM,0.0002246104391070518
79,TDratio_d3,0.00021783677435063988
8,gGTP,0.0002040122177476558
67,NH3 d2,0.00020227501114248957
17,sIL2R,0.00019805934130931067
38,D/T-bil,0.000196731287184017
64,AST d2,0.00019422931419867416
37,NH3,0.00019407065074256033
73,Alb_d3,0.00018625438050549285
51,Cre d1,0.00016545082143538486
50,BUN d1,0.00016512597575765026
30,BUN,0.00016093649902986312
66,LDH d2,0.00015701455598668863
31,Cre,0.0001567471884306263
74,BUN_d3,0.00015562136290072295
76,AST_d3,0.00015542721864830592
68,D/T-bil d2,0.00014780327079647325
62,BUN d2,0.000140873164214816
56,D/T-bil d1,0.00013934865350171587
40,No TASIT,0.00013842989979701806
75,Cre_d3,0.0001348196273022348
69,Yesterday_FFPprescribing_U_d2,0.0001348016484292612
63,Cre d2,0.00011716579076547627
57,FFP d0,9.143869697491404e-05
18,Sex M,8.353101853287086e-05
58,No rhTM d0,7.959771071368535e-05
39,No PE,7.864757207654441e-05
80,Yesterday_FFPprescribing_U_d3,7.64854107528638e-05
70,Yesterday_rhTM_NotDone_d2,7.487199144250513e-05
1,HE,6.791278781897647e-05
41,No PAP,6.611076255940953e-05
20,ALF NC,5.752132493779654e-05
24,ALT/LDH>1.5,5.548125492703917e-05
81,Yesterday_rhTM_NotDone_d3,5.4351757161901396e-05
42,No AC,5.3595075567968635e-05
43,No CHDF,4.6686332905839485e-05
21,ALI,4.237254759886798e-05
44,Vasopressor,9.768476243632463e-06
19,ALF SA,4.792028689426335e-06
22,LOHF,3.837636927071454e-06
46,Yesterday_rhTM_NotDone_d0,0.0
45,Yesterday_FFPprescribing_U_d0,0.0
