,Feature,Value
60,PT% d2,0.011234705798310155
83,PT_percentage_d7,0.010338598381727772
72,PT_percentage_d3,0.008877366150996411
26,PT%,0.0074797763974153286
27,PTINR_d0,0.005496929829024889
28,PTs_d0,0.0023899736737147083
48,PT% d1,0.0015353757711937446
35,ALT,0.0004749103752734646
36,LDH,0.0004651053179683054
53,ALT d1,0.0004318696223934617
34,AST,0.0004172327796975843
32,Tbil_d0,0.0003906706406683798
12,IgG,0.00036723040368495414
33,Dbil_d0,0.00035314532034668936
4,Fib,0.00034117592198306345
52,AST d1,0.00030827821368682083
29,Alb,0.00030601761345834245
9,Che,0.0003041828244329192
11,Ferritin,0.000286905643924039
82,Plt_d7,0.0002810981369174683
65,ALT d2,0.00027114331114705745
47,Plt d1,0.00026610713397354853
23,No LA,0.0002642917681993655
91,Yesterday_FFPprescribing_U_d7,0.0002575328157039668
0,Age,0.00024029209448371138
25,Plt,0.00023961038980041468
3,WBC,0.0002376211316419409
10,CRP,0.00023515093341903558
49,Alb d1,0.00022816614953972823
89,LDH_d7,0.00022350643114166154
2,MELD,0.0002159890056704793
6,APTT,0.00021462414537415332
55,NH3 d1,0.00020809986542489803
5,ATIII,0.00020368226143084944
54,LDH d1,0.00020278862224906697
14,IgM,0.00020096425867065305
13,IgA,0.00020072156331429783
88,ALT_d7,0.00020072038573285504
15,AFP,0.0001926689824548389
78,LDH_d3,0.00018068936344303437
8,gGTP,0.00017673949574918717
87,AST_d7,0.00017383933901647216
79,TDratio_d3,0.0001720053498804081
61,Alb d2,0.0001687708427400003
71,Plt_d3,0.00016757351144983796
59,Plt d2,0.00016747887784664093
16,PIVKA,0.00016640811154118037
67,NH3 d2,0.00016629944433893356
84,Alb_d7,0.00016575289032292467
77,ALT_d3,0.00016548844556957065
86,Cre_d7,0.00016161713270285852
17,sIL2R,0.00015964460826535038
37,NH3,0.00015350256375795687
7,ALP,0.0001513126279228928
30,BUN,0.00014513547200906872
64,AST d2,0.00013260863326733575
38,D/T-bil,0.00013215414839290728
66,LDH d2,0.00013022398413653575
73,Alb_d3,0.00012857262265867722
62,BUN d2,0.00012847072331883782
68,D/T-bil d2,0.00012720926433091082
85,BUN_d7,0.0001252981655290266
90,TDratio_d7,0.00012500724675419073
51,Cre d1,0.00012500694158571368
74,BUN_d3,0.00012468759876061217
50,BUN d1,0.0001235115833953103
76,AST_d3,0.00012216136658552848
31,Cre,0.00011965221135856472
63,Cre d2,0.000118813027045535
56,D/T-bil d1,0.00010971766181854531
75,Cre_d3,0.00010716622163150057
40,No TASIT,9.399973573803487e-05
69,Yesterday_FFPprescribing_U_d2,9.337224791465724e-05
98,Etiology_unknown,8.488419049656588e-05
57,FFP d0,7.560992627620542e-05
80,Yesterday_FFPprescribing_U_d3,7.227963078424835e-05
18,Sex M,6.417490137225158e-05
24,ALT/LDH>1.5,5.545259796316842e-05
41,No PAP,5.5370640130092454e-05
1,HE,5.128006507771923e-05
20,ALF NC,4.614023111179208e-05
96,Etiology_HBV,4.5573214799754026e-05
93,Encephalopathy_grade_worst,4.4922656022782024e-05
39,No PE,4.439841158802437e-05
42,No AC,4.335457984900373e-05
97,Etiology_Others,4.275608773133745e-05
81,Yesterday_rhTM_NotDone_d3,4.133447130642758e-05
21,ALI,4.0447067575850386e-05
58,No rhTM d0,4.0026723037049245e-05
43,No CHDF,3.975308375812087e-05
70,Yesterday_rhTM_NotDone_d2,3.792033494668034e-05
95,Etiology_HAV,2.8332699606657717e-05
92,Yesterday_rhTM_NotDone_d7,2.435775774735643e-05
94,Etiology_DILI,1.892869285780086e-05
44,Vasopressor,8.176715457058569e-06
19,ALF SA,5.4427171354391345e-06
22,LOHF,3.851414160146579e-06
45,Yesterday_FFPprescribing_U_d0,0.0
46,Yesterday_rhTM_NotDone_d0,0.0
