,Feature,Value
60,PT% d2,0.011180434781451393
83,PT_percentage_d7,0.010292747812241413
72,PT_percentage_d3,0.00898644084414213
26,PT%,0.0074720822837098175
27,PTINR_d0,0.0055244584265136416
28,PTs_d0,0.0024554662577299935
48,PT% d1,0.0015666745663660202
35,ALT,0.0004838256267822805
36,LDH,0.0004732740838828917
53,ALT d1,0.0004607747429063205
34,AST,0.00041313232161501736
12,IgG,0.0004059995353387673
32,Tbil_d0,0.0004041438907095004
4,Fib,0.0003627909007886033
33,Dbil_d0,0.000361142750326375
52,AST d1,0.00032209303600354365
82,Plt_d7,0.00030751630764864086
9,Che,0.0003073187191965926
11,Ferritin,0.0002881909588885735
10,CRP,0.0002773491282876464
29,Alb,0.00026309172798587
23,No LA,0.0002576140259729451
47,Plt d1,0.00025079320450802723
65,ALT d2,0.00024718906323311344
88,ALT_d7,0.00024380603078712958
25,Plt,0.00024375974550468535
3,WBC,0.00024347089530222203
89,LDH_d7,0.0002311103263259448
6,APTT,0.00023106454939845382
0,Age,0.00023044085258901005
49,Alb d1,0.00022365688151901498
13,IgA,0.00021788135422570577
15,AFP,0.00021717043834118213
14,IgM,0.00020623231235832777
54,LDH d1,0.0002029315044512261
5,ATIII,0.0002016511229404688
55,NH3 d1,0.00019957218294573806
2,MELD,0.00019916368669316756
16,PIVKA,0.00018840977621972132
78,LDH_d3,0.0001836702307896861
77,ALT_d3,0.00018339888577515272
8,gGTP,0.00018219174294932435
86,Cre_d7,0.0001820907826403998
87,AST_d7,0.00017951695157904625
79,TDratio_d3,0.00017238747142068548
67,NH3 d2,0.00016483424704317955
71,Plt_d3,0.00016461995472605252
37,NH3,0.00016129015936195047
7,ALP,0.00015442547525079233
61,Alb d2,0.0001527152719860853
64,AST d2,0.000151063264626108
73,Alb_d3,0.0001504973229059181
66,LDH d2,0.00014939099184788142
59,Plt d2,0.0001483100306141029
90,TDratio_d7,0.00014617391205451452
85,BUN_d7,0.00014446467208592228
17,sIL2R,0.00014209894474553073
50,BUN d1,0.00014136488944760357
38,D/T-bil,0.00014085673604616637
84,Alb_d7,0.00013498434793576383
74,BUN_d3,0.00013170440648945582
76,AST_d3,0.00012998541759062375
40,No TASIT,0.00012957967375986642
31,Cre,0.00012705137318082276
56,D/T-bil d1,0.00012635854468918799
62,BUN d2,0.00012622070726964603
75,Cre_d3,0.00012109753626719387
30,BUN,0.00011745357263438761
68,D/T-bil d2,0.00011410237051059428
69,Yesterday_FFPprescribing_U_d2,0.0001082206371809336
51,Cre d1,0.00010481270015689885
63,Cre d2,0.00010438331449198789
57,FFP d0,6.941647818427934e-05
80,Yesterday_FFPprescribing_U_d3,6.319153770122965e-05
21,ALI,5.7779562876797964e-05
58,No rhTM d0,5.74408293838409e-05
39,No PE,5.703575694687257e-05
18,Sex M,5.5319375287015904e-05
41,No PAP,5.308856629089965e-05
70,Yesterday_rhTM_NotDone_d2,5.229298808362536e-05
81,Yesterday_rhTM_NotDone_d3,5.14470765770119e-05
20,ALF NC,4.652487724284733e-05
1,HE,4.502666934323302e-05
24,ALT/LDH>1.5,4.430356801442334e-05
42,No AC,4.229974140992166e-05
43,No CHDF,3.6185552228291984e-05
44,Vasopressor,5.670707641464909e-06
19,ALF SA,4.037561612294253e-06
22,LOHF,3.7326749889731487e-06
46,Yesterday_rhTM_NotDone_d0,0.0
45,Yesterday_FFPprescribing_U_d0,0.0
